log,fitness_heuristics,precision_heuristics,fscore_heuristics,size_heuristics,pnsize_heuristics,cfc_heuristics,fitness_ilp,precision_ilp,fscore_ilp,size_ilp,pnsize_ilp,cfc_ilp,fitness_imf,precision_imf,fscore_imf,size_imf,pnsize_imf,cfc_imf
2_ense_rt10v_genELtask_58_05_02,0.7518808197684701,0.7228979375991531,0.7371045876754511,36.0,20.0,19.0,0.99999208807758,0.215909563193549,0.355140326864629,36.0,11.0,12.0,0.8856271723435871,0.36583522297808,0.517784018570507,43.0,25.0,21.0
2_ense_rutpt_genELtask_24_02_01,0.5573481288122081,0.9546835135463492,0.7038094375497791,10.0,6.0,4.0,0.999960205665284,0.493147438682412,0.6605388647964611,17.0,6.0,5.0,0.9998916267014312,0.97099307877751,0.985230486954072,17.0,12.0,9.0
2_enself_enve_genELtask_9_00_08,0.9652359707947332,0.768362583466288,0.8556204691697781,19.0,12.0,12.0,0.999973396145827,0.7837486389796231,0.8787555155027321,14.0,7.0,4.0,0.9474799728159452,0.955149640211399,0.9512993479615832,15.0,10.0,6.0
2_enve_rmcv_genELtask_58_05_02,0.415008541816268,0.490962099125364,0.449801473993236,47.0,26.0,19.0,0.9999852099317732,0.212445123115098,0.350439897859302,40.0,14.0,12.0,0.8575302629017151,0.6815398075240591,0.7594729071203481,47.0,33.0,29.0
2_enseef_rmcv_genELtask_24_02_01,0.77567212523937,0.557521064367919,0.648748511821253,20.0,12.0,11.0,0.999983982079033,0.461944639247555,0.6319559424668221,19.0,8.0,7.0,0.962423342740302,0.685453696831505,0.8006624552153411,21.0,14.0,10.0
2_ense_rmcv_genELtask_36_03_02,0.6965863019071621,0.8709677419354831,0.7740775519905101,13.0,7.0,5.0,0.999969621176065,0.427355623100303,0.598802049151352,21.0,7.0,6.0,0.99991994157317,0.902439024390243,0.9486819182778732,21.0,14.0,11.0
2_rt10v_rutpt_genELtask_79_07_01,0.305577114979487,1.0,0.468110403397027,4.0,3.0,0.0,0.999969354526046,0.99458561940514,0.997270221033034,13.0,7.0,4.0,0.999969354526046,0.99458561940514,0.997270221033034,13.0,7.0,4.0
2_ense_enseef_genELtask_48_04_03,0.655072463768116,1.0,0.7915936952714531,21.0,2.0,2.0,0.9999344970445412,0.762408546724309,0.8651648263449251,59.0,21.0,19.0,0.994528764202692,0.968615904619812,0.981401313828198,39.0,26.0,12.0
2_enve_rutpt_genELtask_68_06_01,0.612758862758862,0.73631531718092,0.6688790625402841,11.0,2.0,4.0,0.999959583943106,0.734713515891344,0.8470573755230311,14.0,7.0,5.0,0.99995724197451,0.996940869240813,0.998446777448246,13.0,6.0,4.0
2_enself_rutpt_genELtask_19_01_07,0.8802105407158861,0.477698355968548,0.6192979944867101,29.0,17.0,16.0,0.999988489711354,0.299522207142724,0.460971595356243,34.0,11.0,9.0,0.937223459978035,0.449635384720234,0.6077169751010041,36.0,24.0,21.0
2_enself_rutpt_genELtask_15_01_03,0.553448813982521,0.482353832172069,0.515461429504232,27.0,2.0,12.0,0.9999728687179172,0.575028126757922,0.7301741740599811,39.0,11.0,12.0,0.954121079554186,0.683627547963718,0.796536712797817,34.0,21.0,13.0
2_ense_rt10v_genELtask_49_04_04,0.32819794712184,0.900523560209424,0.481069114575047,68.0,40.0,28.0,0.999978120136858,0.5835156819839531,0.736981621221618,75.0,35.0,25.0,0.996464599156002,0.30859375,0.471247507967231,54.0,33.0,23.0
2_ense_rutpt_genELtask_36_03_02,0.964589734525874,0.765441225888836,0.853553220455989,19.0,12.0,12.0,0.9999735343110272,0.7788563443159541,0.8756719692018531,14.0,7.0,4.0,0.948454201632237,0.948423937871174,0.948439069510284,15.0,10.0,6.0
2_ense_enself_genELtask_2_00_01,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0
2_ense_rt10v_genELtask_53_04_08,0.375438596491228,1.0,0.545918367346938,5.0,4.0,0.0,0.9999716825400812,0.9649410439851612,0.9821440985953412,15.0,8.0,4.0,0.99995714450424,0.9649410439851612,0.982137086400542,16.0,9.0,5.0
2_enve_rutpt_genELtask_79_07_01,0.7245959005321511,1.0,0.84030804005572,6.0,5.0,0.0,0.999983389858438,0.9920143222202412,0.995982915750192,12.0,9.0,2.0,0.999983389858438,0.9920143222202412,0.995982915750192,12.0,9.0,2.0
2_ense_enve_genELtask_51_04_06,0.448062957547123,0.9944289693593312,0.617773696712791,8.0,5.0,2.0,0.99995956302415,0.285498504739216,0.444179343072323,24.0,5.0,5.0,0.9998886471346212,0.8052783575901411,0.8920932915681831,39.0,23.0,18.0
2_rmcv_rt10v_genELtask_37_03_03,0.9002713692269521,1.0,0.947518742644837,19.0,11.0,7.0,0.999966570032556,0.6698523023457861,0.8022785228808441,17.0,9.0,3.0,0.999929916709381,0.950678175092478,0.97468225671055,25.0,17.0,11.0
2_ense_enve_genELtask_31_02_08,0.88321907198791,1.0,0.937988665392594,43.0,21.0,16.0,0.999976675301335,1.0,0.9999883375146552,49.0,16.0,9.0,0.999962076127302,1.0,0.9999810377040892,33.0,20.0,7.0
2_enve_rt10v_genELtask_85_07_07,0.971842610813648,0.605565903363646,0.746179246853621,22.0,14.0,14.0,0.9999795552857752,0.5052420046913441,0.6713053926368471,17.0,7.0,6.0,0.936995854755172,0.7352531013237861,0.8239551959436151,18.0,12.0,8.0
2_ense_rutpt_genELtask_48_04_03,0.9650516985908292,0.7514651617104401,0.844970122359544,19.0,12.0,12.0,,,,,,,0.9504255156455352,0.9188994286348252,0.934396629070668,15.0,10.0,6.0
2_enseef_rmcv_genELtask_37_03_03,0.232737151913063,0.8909987219280621,0.36906983166942,56.0,27.0,17.0,0.999979809078554,0.7639950910978941,0.866202421878684,54.0,27.0,15.0,0.9999596189724392,0.7639950910978941,0.8661948471008121,35.0,27.0,9.0
2_enself_rt10v_genELtask_18_01_06,0.350082811041695,0.937825253355245,0.509844623287187,48.0,30.0,18.0,0.9999801320524332,0.394602479941648,0.565896400265661,47.0,22.0,12.0,0.943703763058128,0.578884793722506,0.717588157063451,38.0,29.0,12.0
2_ense_enve_genELtask_13_01_01,0.262561550272674,1.0,0.415918812379434,5.0,4.0,0.0,,,,,,,0.9999143769922932,1.0,0.9999571866632432,12.0,8.0,4.0
2_enseef_enve_genELtask_32_02_09,0.262397526131843,1.0,0.415712991668899,57.0,23.0,19.0,0.9999770461078112,0.995614002034741,0.997790754518516,49.0,22.0,14.0,0.99995409326936,0.995614002034741,0.9977793280957572,32.0,23.0,9.0
2_enve_rutpt_genELtask_38_03_04,0.999946849528312,0.8897058823529411,0.9416106769839412,15.0,8.0,7.0,0.9999325346723592,0.314285714285714,0.478253153380238,19.0,6.0,7.0,0.999845969258706,0.8897058823529411,0.9415659480713512,19.0,14.0,11.0
2_ense_rutpt_genELtask_55_04_10,0.922038199798948,0.372353673723536,0.5304797071605081,49.0,28.0,28.0,0.9999950000249992,0.122777591412277,0.218703196824962,63.0,23.0,19.0,0.966297488204652,0.17986838898367,0.303283104028023,41.0,25.0,22.0
2_enve_rmcv_genELtask_48_04_03,0.310591500770047,0.962264150943396,0.46960716460881,27.0,12.0,10.0,0.99995442068222,0.144990176817288,0.253258661738882,45.0,11.0,19.0,0.9543865417117092,0.771764705882352,0.8534151913847,32.0,21.0,18.0
